# Akram-ut-Tarajum — Urdu OCR ground-truth corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -
004:079	(اے مخاطب!)تم کو جو بھلائی پیش آتی ہے تو وہ محض اللہ کی طرف سے ہے اور جو برائی (مصیبت)پیش آتی ہے تو وہ تیری اپنی طرف سے (شامت اعمال)ہے اور ہم نے آپ(ﷺ)کو تمام لوگوں کی طرف پیغمبر بنا کر بھیجا ہے اور اللہ گواہ کافی ہے۔
004:080	جس نے پیغمبر کی اطاعت کی تو یقیناً اس نے اللہ کی اطاعت کی اور جو شخص روگردانی کرے تو ہم نے آپ کو ان پر نگران بنا کر بھیجا۔
004:081	اور (زبانی)کہتے ہیں ہم نے فرمانبرداری (اختیار)کی پھر جب آپ کے پاس سے باہر جاتے ہیں تو ان میں سے کچھ لوگ شب کو مشورہ کرتے ہیں جو آپ سے کہہ چکے تھے اس کے برخلاف۔ اور جو مشورہ یہ کرتے ہیں اللہ لکھ لیتے ہیں سو آپ ان کی پرواہ نہ کیجئے اور اللہ پر بھروسہ کیجیے اور اللہ کارساز کافی ہیں۔
004:082	کیا یہ قرآن میں غور نہیں کرتے اور اگر یہ اللہ کے سوا (کسی اور)کی طرف سے ہوتا تو اس میں بہت زیادہ اختلاف پاتے۔
004:083	اور جب ان کے پاس امن یا خوف کی کوئی خبر پہنچتی ہے تو اسے پھیلا دیتے ہیں اور اگر اسے پیغمبر اور اپنے امراء کے پاس لے جاتے تو ان میں سے جانچنے والے اسے جانچ لیتے اور اگر تم پر اللہ کا فضل اور اس کی مہربانی نہ ہوتی تو تھوڑے لوگوں کے سوا تم سب شیطان کے پیرو ہوجاتے۔
004:084	پس آپ اللہ کی راہ میں قتال کیجئے آپ اپنے سوا کسی کے ذمہ دار نہیں ہیں اور مسلمانوں کو رغبت دلائیے قریب ہے (امید ہے)کہ اللہ کافروں کی جنگ (کے زور)کو روک دیں اور اللہ لڑائی میں سخت ہیں اور سخت سزا دیتے ہیں۔
004:085	جو شخص اچھی سفارش کرے اس کو اس میں سے حصہ ملے گا اور جو بری سفارش کرے اس کو اس (کے عذاب)میں سے حصہ ملے گا اور اللہ ہر چیز پر قدرت رکھنے والے ہیں۔
004:086	اور جب تم کو کوئی (مشروع طور پر)سلام (دعا)کرے تو اس سے اچھے الفاظ میں اسے سلام(دعا)کرو یا وہی (الفاظ)اسے لوٹا دو یقیناً اللہ ہر چیز کا حساب لینے والا ہے۔
004:087	اللہ ہے، کوئی اس کے سوا عبادت کے لائق نہیں وہ ضرور تم (سب)کو قیامت کے دن جمع کریں گے جس میں کوئی شبہ نہیں اور اللہ سے زیادہ بات میں سچا کون ہوسکتا ہے؟
004:088	پس تم کو کیا ہے کہ منافقین کے بارے دو گروہ ہوگئے ہو اور اللہ نے ان کو ان کے اعمال (بد)کی وجہ سے الٹا کردیا ہے کیا تم چاہتے ہو کہ ان کو ہدایت کرو جن کو اللہ نے گمراہی میں ڈال دیا ہے اور جس کو اللہ گمراہی میں ڈال دیں تو تم اس کے لئے ہرگز کوئی سبیل نہ پاؤ گے۔
004:089	وہ چاہتے ہیں کہ جیسے وہ کافر ہوئے کاش تم بھی ویسے کافر ہوجاؤ پس تم سب برابر(ایک جیسے)ہوجاؤ سو ان میں سے کسی کو دوست نہ بناؤ یہاں تک کہ وہ اللہ کی راہ میں وطن چھوڑ آئیں (ہجرت کریں)پھر اگر وہ اعراض کریں (پھر جائیں)تو ان کو پکڑو اور ان کو قتل کرو جہاں کہیں بھی ان کو پاؤ اور ان میں سے نہ کسی کو دوست بناؤ اور نہ مددگار۔
004:090	سوائے ان لوگوں کے جو ایسے لوگوں سے جاملتے ہیں جن کے اور تمہارے درمیان عہد (معاہدہ)ہے یا وہ (اس حال میں )تمہارے پاس آئیں کہ ان کے دل تمہارے ساتھ یا اپنی قوم کے ساتھ لڑنے سے تنگ ہوں (منقبض ہوں)اور اگر اللہ چاہتے تو ان کو تم پر مسلط کردیتے تو پھروہ ضرور تم سے لڑنے لگتے پس اگر وہ تم سے ایک طرف ہوجائیں پھر تم سے نہ لڑیں اور تمہارے ساتھ صلح چاہیں تو اللہ نے ان پر تمہارے لئے کوئی سبیل (راہ)نہیں رکھی۔
004:091	اب تم (ان میں )کچھ لوگوں کو پاؤ گے وہ چاہتے ہیں کہ تم سے (بھی)امن میں رہیں اور اپنی قوم سے (بھی)امن میں رہیں جب کبھی انہیں شرارت کی طرف متوجہ کیا جاتا ہے تو اس میں جاگرتے ہیں سو اگر یہ لوگ تم سے کنارہ کش نہ ہوں اور نہ تم سے صلح رکھیں اور نہ اپنے ہاتھوں کو روکیں تو تم ان کو پکڑو اور ان کو قتل کرو جہاں کہیں ان کو پاؤ اور ان لوگوں پر ہم نے تم کو صاف حجت دی ہے۔
004:092	اور کسی مومن کے شایاں نہیں کہ وہ کسی مومن کو قتل کرے سوائے اس کے کہ غلطی سے (ایسا ہو) اور جو کسی مومن کو غلطی سے قتل کرے تو ایک مسلمان گردن (لونڈی یا غلام)کو آزاد کرے اور خوں بہا اس کے خاندان والوں کو ادا کرے سوائے اس کے کہ وہ معاف کردیں پھر اگر وہ (مقتول)تمہارے دشمنوں کی جماعت میں سے ہو اور وہ مسلمان ہو تو ایک مسلمان گردن (لونڈی یا غلام)کو آزاد کرے اور اگر اس قوم سے ہو جس کے اور تمہارے درمیان صلح کا عہد ہے تو اس کے (مقتول کے)خاندان والوں کو خون بہا ادا کرے اور ایک مسلمان گردن (لونڈی یا غلام)کو آزاد کرے پس جس کو یہ میسر نہ ہو تو وہ دو مہینے متواتر روزے رکھے، یہ اللہ کی طرف سے توبہ کے طور پر ہے اور اللہ بڑے علم والے حکمت والے ہیں۔
004:093	اور جو شخص کسی مومن کو جان بوجھ کر قتل کرڈالے تو اس کی سزا دوزخ ہے جس میں وہ ہمیشہ رہے گا اور اس پر اللہ کا غضب ہوگا اور اس کی لعنت(رحمت سے دوری)ہوگی اور اس کے لئے بڑا عذاب تیار کررکھا ہے۔
004:094	اے ایمان والو! جب تم اللہ کی راہ میں باہر نکلو تو تحقیق کرلیا کرو اور جو تمہیں سلام کہے اسے دنیا کے اسباب کی خواہش میں یہ نہ کہو کہ تو مسلمان نہیں ہے پس اللہ کے پاس بہت غنیمت (کا مال)ہے تم بھی پہلے ایسے ہی تھے پھر اللہ نے تم پر احسان کیا پس تحقیق کرلیا کرو یقیناً اللہ تمہارے اعمال سے باخبر ہیں۔
004:095	وہ مسلمان جو بلا عذر گھروں میں بیٹھ رہتے ہیں اور جو اللہ کی راہ میں اپنے مال اور جان سے جہاد کرتے ہیں برابر نہیں ہوتے۔ اللہ نے اپنے مال اور جان سے جہاد کرنے والوں کو بیٹھ رہنے والوں پر درجہ میں فضیلت بخشی ہے اور اللہ نے سب کے ساتھ اچھا (اچھے گھر کا)وعدہ کیا ہے اور جہاد کرنے والوں کو بیٹھ رہنے والوں پر بڑے ثواب سے فضیلت دی ہے۔
004:096	اس (اللہ)کی طرف سے درجات ہیں اور بخشش ہے اور مہربانی ہے اور اللہ بخشنے والے مہربان ہیں۔
004:097	جب فرشتے ان لوگوں کی روح قبض کرتے ہیں جنہوں نے اپنی جانوں پر ظلم کررکھا تھا تو کہتے ہیں تم کس حال میں تھے وہ کہتے ہیں ہم ملک میں عاجزوناتواں لوگ تھے تو (فرشتے)کہتے ہیں کیا اللہ کی زمین وسیع نہ تھی تھی پس تم ترک وطن کرکے چلے جاتے سو ایسے لوگوں کا ٹھکانہ دوزخ ہے اور وہ بہت بری جگہ ہے۔
004:098	سوائے ناتواں لوگوں کے مردوں میں سے اور عورتوں میں سے اور بچوں میں سے کہ نہ کوئی تدبیر کرسکتے ہیں اور نہ کوئی راہ پاتے ہیں۔
004:099	سو ایسے لوگوں کے لئے امید ہے کہ اللہ انہیں معاف کردیں اور اللہ معاف کرنے والے بخشنے والے ہیں۔
004:100	اور جو اللہ کی راہ میں وطن چھوڑ دے وہ زمین میں بہت جگہ اور بہت وسعت پائے گا اور جو کوئی اپنے گھر کو چھوڑ کر اللہ اور اس کے پیغمبر کی طرف نکلے پھر اس کو موت آجائے تو یقیناً اس کا ثواب اللہ کے ذمے ہے اور اللہ بخشنے والے مہربان ہیں۔
004:101	اور جب تم زمین میں سفر کرو تو تم پر کوئی گناہ نہیں کہ تم نماز کو کوتاہ (قصر)کرو اگر تمہیں یہ خوف ہو کہ کافر تمہیں فتنہ میں ڈالیں گے بے شک کافر تمہارے کھلے دشمن ہیں۔
004:102	اور جب آپ ان (لشکر)میں ہوں پھر آپ ان کو نماز پڑھانے لگیں تو چاہیے کہ ان میں سے ایک جماعت اپنا اسلحہ لے کر آپ کے ساتھ کھڑی رہے پس جب وہ سجدہ کر چکیں تو وہ آپ سے پرے ہوجائیں اور دوسری جماعت آئے جس نے نماز نہیں پڑھی پس چاہیے کہ وہ آپ کے ساتھ نماز ادا کریں اور یہ لوگ بھی اپنے بچاؤ کا سامان اور اپنے ہتھیار لے لیں (مسلح ہوں)کافر لوگ یہ چاہتے ہیں کہ کاش تم اپنے ہتھیاروں سے اور اپنے اسباب سے غافل ہوجاؤ تو تم پر یکبارگی حملہ کردیں اور اگر تم کو بارش کی وجہ سے تکلیف ہو یا تم بیمار ہو تو تم کو کچھ گناہ نہیں کہ اپنے ہتھیار اتار رکھو اور اپنا بچاؤ (ضرور)رکھو یقیناً اللہ نے کافروں کے لئے رسوا کرنے والا عذاب تیار کررکھا ہے۔
004:103	پس جب تم نماز ادا کرچکو تو اللہ کا ذکر کرو کھڑے بھی اور بیٹھے بھی اور لیٹے ہوئے بھی پھرجب تم مطمئن ہوجاؤ تو نماز ادا کرو (حالت امن کی طرح)بے شک نماز مسلمانوں پر وقت مقررہ کے ساتھ فرض ہے۔
004:104	اور قوم (کفار)کا پیچھا کرنے میں سستی نہ کرنا اگر تم الم رسیدہ (بے آرام ہوتے)ہو تو وہ بھی الم رسیدہ (بے آرام ہوتے)ہیں جس طرح تم الم رسیدہ (بے آرام ہوتے)ہو اور تم اللہ سے ایسی امیدیں رکھتے ہو جو کہ وہ امید نہیں رکھتے اور اللہ جاننے والے حکمت والے ہیں۔
004:105	یقیناً ہم نے آپ پر حق کے ساتھ کتاب نازل فرمائی ہے تاکہ اللہ نے جو آپ کو بتا دیا ہے آپ اس کے مطابق لوگوں کے درمیان فیصلہ کریں اور آپ خیانت کرنے والوں کی طرف سے بحث نہیں کیجئے گا۔
004:106	اور اللہ سے بخشش مانگیئے بے شک اللہ بڑے بخشنے والے مہربان ہیں۔
004:107	اور آپ ان لوگوں کی طرف سے بحث نہ کریں جو اپنے ہی ساتھ خیانت کررہے ہیں یقیناً اللہ خیانت کرنے والے بدکاروں کو پسند نہیں فرماتے۔
004:108	لوگوں سے چھپتے ہیں اور اللہ سے نہیں چھپ سکتے اور جب رات کو اس کی رضا کے خلاف بات کی تدبیریں کرتے ہیں تو وہ (اللہ)ان کے ساتھ ہوتے ہیں اور اللہ ان کے تمام کاموں پر احاطہ کیے ہوئے ہیں۔
004:109	ہاں تم ہی وہ لوگ ہو کہ دنیا کی زندگی میں تو ان کی طرف سے بحث کرلیتے ہو پھر قیامت کے دن ان کی طرف سے اللہ سے کون بحث کرے گا یا کون ان کا کارساز (وکیل) ہوگا۔
004:110	اور جو شخص برائی کرے یا اپنے آپ پر ظلم کرے پھر اللہ سے بخشش طلب کرے تو اللہ کو بخشنے والا مہربان پائے گا۔
004:111	اور جو کوئی گناہ کرتا ہے تو یقیناً اس کا اثر خود اس پر ہوتا ہے اور اللہ جاننے والے حکمت والے ہیں۔
004:112	اور جو کوئی خطا کرے یا گناہ کرے پھر کسی بے گناہ پر اس کا الزام لگا دے تو یقیناً اس نے بہتان اور بہت بڑے گناہ کا بوجھ اپنے سر لے لیا۔
004:113	اور اگر آپ پر اللہ کا فضل اور اس کی رحمت نہ ہوتی تو ان میں سے ایک جماعت آپ کو بہکانے کا قصد کرہی چکی تھی اور یہ اپنے آپ کے سوا کسی کو بہکا نہیں سکتے اور آپ کا کچھ نہیں بگاڑ سکتے اور اللہ نے آپ پر کتاب اور دانائی (حکمت)نازل فرمائی ہے اور آپ کو وہ باتیں سکھائی ہیں جو آپ نہیں جانتے تھے اور آپ پر اللہ کا بہت بڑا فضل ہے۔
004:114	ان لوگوں کے بہت سے مشوروں میں بھلائی (کی کوئی بات )نہیں ہاں اس شخص کی بات(مشورت اچھی ہوسکتی ہے)جو خیرات کرنے کی بات کرے یا نیک بات یا لوگوں میں صلح کی بات کرے اور جو کوئی اللہ کی رضا حاصل کرنے کے لئے یہ کام کرے تو عنقریب ہم اس کو بہت بڑا اجر دیں گے۔
004:115	اور جو کوئی اپنے آپ پر حق بات ظاہر ہوجانے کے بعد پیغمبر کی مخالفت کرے اور ایمان والوں کی راہ کے علاوہ (دوسری راہ پر)چلے تو وہ جدھر پھرا ہے ہم اسے ادھر ہی پھیر دیں گے اور اس کودوزخ میں داخل کریں گے اور جانے کی بہت بری جگہ ہے۔
004:116	اللہ کے ساتھ کسی کو شریک کیا جائے تو یقیناً اللہ اس (جرم)کو نہیں بخشتے اور اس کے علاوہ جس کو چاہیں بخش دیں اور جس نے اللہ کے ساتھ کسی کو شریک کیا تو وہ بہت دور کی گمراہی میں جاپڑا۔
004:117	یہ اس (اللہ)کے سوا عورتوں ہی کی پرستش کرتے ہیں اور سرکش شیطان ہی کو پکارتے ہیں۔
004:118	اس پر اللہ نے لعنت کی ہے اور اس نے کہا تھا میں ضرور تیرے بندوں میں سے ایک مقرر (کافی)حصہ لوں گا۔
004:119	اور میں ان کو گمراہ کروں گا اور ان کو جھوٹی امیدیں دلاؤں گا اور میں ان کو سکھاؤں گا سو (جس سے)وہ چار پایوں کے کانوں کو تراشا کریں گے اور میں ان کو سکھاؤں گا کہ (جس سے)وہ اللہ کی بنائی ہوئی صورت کو بگاڑا کریں گے اور جس نے اللہ کو چھوڑ کر شیطان کو دوست بنایا تو یقیناً اس نے بہت بڑا ظاہر خسارہ پایا۔
004:120	وہ ان کووعدے دیتا ہے اور (جھوٹی)امیدیں دلاتا ہے اور شیطان ان سے صرف فریب کے (طور پر)وعدے کرتا ہے۔
004:121	ان ہی لوگوں کا ٹھکانہ جہنم ہے اور وہ اس سے بچنے کی جگہ نہ پائیں گے۔
004:122	اور جو لوگ ایمان لائے اور نیک کام کرتے رہے عنقریب ہم ان کو بہشتوں میں داخل کریں گے جن کے تابع نہریں چلتی ہیں ان میں وہ ہمیشہ ہمیشہ رہیں گے یہ اللہ کا سچا وعدہ ہے اور اللہ سے زیادہ بات کا سچا کون ہوسکتا ہے؟
004:123	نہ تمہاری تمناؤں پر ہے اور نہ اہل کتاب کی آرزوؤں پر۔ جو کوئی برا کام کرے اسے اس کے بدلے سزا دی جائے گی اور وہ اللہ کے علاوہ اپنا نہ کوئی دوست پائے گا اور نہ مددگار۔
004:124	اور جو کوئی نیک کام کرے وہ مرد ہو یا عورت بشرطیکہ وہ مومن ہو سو ایسے لوگ ہی جنت میں داخل ہوں گے اور ان کے ساتھ ذرہ برابر بھی زیادتی نہ کی جائے گی۔
004:125	اور اس سے اچھا دین کس کاہو گا جو اپنا رخ اللہ کی طرف جھکا دے اور وہ مخلص ہو اور ملت ابراہیم (علیہ السلام)کا اتباع کرے جس میں کوئی کجی نہیں اور اللہ نے ابراہیم(علیہ السلام)کو اپنا مخلص دوست بنایا۔
004:126	اور جو کچھ آسمانوں میں ہےاور جو کچھ زمین میں ہے سب اللہ کا ہے اور اللہ ہر چیز کو احاطہ فرمائے ہوئے ہیں۔
004:127	اور وہ آپ سے عورتوں کے بارے میں فیصلہ چاہتے ہیں کہہ دیجئے کہ اللہ تم کو ان کے بارے فیصلہ دیتے ہیں اور وہ آیات (بھی)جو ان یتیم عورتوں کے بارے تم کو کتاب سے پڑھ کر سنائی جاتی ہیں جن کو تم ان کا حق مقرر نہیں دیتے ہو اور ان سے نکاح کرنے کی خواہش رکھتے ہو اور بے کس بچوں کے بارے میں ۔ اور یہ کہ تم یتیموں کے بارے میں انصاف پر قائم رہو اور جو نیک کام تم کرتے ہو سو یقیناً اللہ اس کو خوب جانتے ہیں۔
004:128	اور اگر عورت کو اپنے خاوند کی بددماغی یا بے پرواہی کا ڈر ہو تو ان دونوں پر کوئی گناہ نہیں کہ دونوں باہم ایک خاص طور پر صلح کرلیں اور صلح بہتر ہے اور نفوس تو حرص کی طرح مائل ہوتے ہیں اور اگر تم اچھا برتاؤ رکھو گے اور پرہیزگاری اختیار کرو گے تو بلا شبہ اللہ تمہارے تمام اعمال سے باخبر ہیں۔
004:129	اور تم سب بیبیوں میں اگر چاہو بھی تو ہرگز برابری نہ رکھ سکو گے تو ایسا بھی نہ کرو کہ ایک طرف جھک جاؤ تو دوسری کو ایسا کردو کہ ادھر لٹکی ہوئی ہے اور اگر اصلاح کرلو اور احتیاط رکھو تو یقیناً اللہ بڑی مغفرت والے مہربان ہیں۔
004:130	اور اگر دونوں (میاں بیوی)جدا ہوجائیں (موافقت نہ ہو سکے)تو اللہ ہر ایک کو اپنی وسعت سے بے احتیاج کردے گا اور اللہ وسعت والے (اور)حکمت والے ہیں۔
004:131	اور جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے (سب) اللہ کا ہے اور البتہ ہم نے ان لوگوں کو بھی حکم دیا تھا جن کو تم سے پہلے کتاب دی گئی تھی اور تم کو بھی (حکم دیتے ہیں)کہ اللہ سے ڈرو اور اگر کفر کرو گے تو جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے (سب)اللہ کا ہے اور اللہ بے نیاز، سزاوار حمد ہیں۔
004:132	اور جو کچھ آسمانوںمیں ے اور جو کچھ زمین میں ہے (سب)اللہ کا ہے اور اللہ (ہی)کارساز کافی ہیں۔
004:133	اے لوگو! اگر وہ (اللہ )چاہیں تو تم کو فنا کردیں اور (تمہاری جگہ)دوسرے لوگوں کو لے آئیں (پیدا کردیں)اوراللہ اس پر قدرت رکھتے ہیں۔
004:134	جو کوئی دنیا کا بھلا چاہتا ہے پس اللہ کے پاس ہے دنیا کا بھلا اور آخرت کا(بھی) اوراللہ سننے والے دیکھنے والے ہیں۔
004:135	اے ایمان والو! انصاف کے ساتھ قائم رہو اللہ کے لئے گواہی دینے والے خواہ اپنی ذات پر ہی ہو یا والدین اور رشتہ داروں کے (مقابل)۔ اگر کوئی امیرہے یا غریب تو اللہ کو ان سے زیادہ تعلق ہے سو خواہش نفس کی پیروی نہ کرو کہ حق سے ہٹ جاؤ اور اگر تم غلط بیانی کرو یا پہلو تہی کرو تو بلا شبہ اللہ تمہارے سب اعمال کی خبر رکھتے ہیں۔
004:136	اے ایمان والو! اللہ پر اور اس کے پیغمبر پر اور اس کتاب پر جو اس نے اپنے پیغمبر پر نازل کی اور جو کتاب پہلے نازل کی تھی، پر ایمان لاؤ اور جو کوئی اللہ سے کفر کرے اور اس کے فرشتوں سے اور اس کی کتابوں سے اور اس کے پیغمبروں سے اور آخرت کے دن سے تو یقیناً وہ بہت دور کی گمراہی میں جا پڑا۔
004:137	یقیناً جو لوگ ایمان لائے پھر کافر ہوگئے پھر ایمان لے آئے پھر کافر ہوگئے پھر کفر میں بڑھتے گئے اور اللہ ایسوں کو ہرگز نہ بخشیں گے اور نہ ان کو سیدھا راستہ دکھائیں گے۔
004:138	منافقوں کو اس بات کی خوشخبری دے دیجئے کہ ان کے لئے بڑی دردناک سزا ہے۔
004:139	جو لوگ مسلمانوں کو چھوڑ کر کافروں کو دوست بناتے ہیں، کیا وہ ان سے عزت پانا چاہتے ہیں؟ تو یقیناً ساری (طرح کی)عزت اللہ کے پاس ہے۔
004:140	اور بے شک اس نے تمہارے لئے (اپنی)کتاب میں یہ (حکم)نازل فرمایا ہے کہ جب تم اللہ کی آیات کے ساتھ کفر ہوتا اور ان کے ساتھ مذاق ہوتا ہوا سنو تو ان لوگوں کے ساتھ مت بیٹھو یہاں تک کہ وہ اس کے سوا اور طرح کی باتیں کرنے لگیں (ورنہ )یقیناً تم بھی ان جیسے ہی ہوجاؤ گے یقیناً اللہ منافقوں اور کافروں سب کو دوزخ میں جمع کردیں گے۔
004:141	ایسے لوگ کہ تمہارے حال کا انتظار کرتے ہیں پس اگر اللہ کی طرف سے تمہیں فتح ہو تو کہتے ہیں کیا ہم تمہارے ساتھ نہ تھے اوراگر کافروں کو (فتح سے)کچھ حصہ ملے تو کہتے ہیں کیا ہم تم پر غالب نہ آنے والے تھے اور تم کو مسلمانوں سے بچا نہ لیا تھا؟ پس اللہ تمہارے درمیان قیامت کے روز فیصلہ کریں گے اوراللہ کافروں کو مسلمانوں پر (اس فیصلہ میں )ہرگز غلبہ نہ دیں گے۔
004:142	بے شک منافق اللہ کو دھوکہ دیتے ہیں اور وہ (اللہ)انہیں دھوکے میں ڈالنے والے ہیں اور جب نماز کے لئے کھڑے ہوتے ہیں تو بہت سست ہوکر کھڑے ہوتے ہیں (صرف)لوگوں کو دکھانے کے لئے اور اللہ کا ذکر نہیں کرتے مگر بہت کم۔
004:143	دونوں کے درمیان پریشان (لٹکے ہوئے)ہیں نہ ان کی طرف ہیں اور نہ ان کی طرف اور جس کو اللہ گمراہ کردیں تو تم اس کے لئے ہرگز کوئی راہ نہ پاؤ گے۔
004:144	اے ایمان والو! مسلمانوں کے علاوہ کافروں کو دوست نہ بناؤ کیا تم چاہتے ہو کہ اپنے اوپر اللہ کی صریح حجت قائم کرلو؟
004:145	بے شک منافق دوزخ کے نچلے درجے میں جائیں گے اور تم ہرگز ان کا کوئی مددگار نہ پاؤ گے۔
004:146	مگرجنہوں نے توبہ کی اور اصلاح کرلی اللہ کو مضبوط پکڑا اور خالص کیا اللہ کے لئے اپنے دین کو تو یہ لوگ مومنین کے ساتھ ہوں گے اور عنقریب اللہ مومنین کو بہت بڑا اجر (ثواب)عطا فرمائیں گے۔
004:147	اللہ تم کو عذاب دے کر کیا کریں گے اگر تم شکرگزار بن جاؤ اور ایمان لے آؤ اور اللہ قدر کرنے والے جاننے والے ہیں۔
004:148	اللہ بری بات زبان پر لانے کو پسند نہیں کرتے سوائے اس کے کہ کسی پر ظلم ہو (سوائے مظلوم کے)اور اللہ سننے والے اور جاننے والے ہیں۔
004:149	اگر تم نیکی کو ظاہر کرو یا اسے چھپاؤ یا کسی برائی کو معاف کردو تو یقیناً اللہ بخشنے والے قدرت والے ہیں۔
004:150	بے شک جولوگ اللہ اور اس کے پیغمبروں (علیہم السلام)سے کفر کرتے ہیں اور اللہ اور اس کے پیغمبروں(علیہم السلام)میں فرق کرنا چاہتے ہیں اور وہ کہتے ہیں ہم بعض کومانتے اور بعض کا انکار کرتے ہیں اور وہ چاہتے ہیں کہ اس (کفر اوراسلام)کے درمیان کوئی راہ اختیار کریں۔
004:151	ایسے لوگ بلا شبہ کافر ہیں اور کافروں کے لئے ہم نے ذلت کا عذاب تیار کررکھاہے۔
004:152	اور جو لوگ اللہ پر ایمان رکھتے ہیں اور اس کے پیغمبروں پر اور ان میں سے کسی میں فرق نہیں کرتے ان لوگوں کو وہ (اللہ)جلد ان کا اجر(ثواب)دیں گے اور اللہ بخشنے والے مہربان ہیں۔
004:153	آپ سے اہل کتاب سوال کرتے ہیں کہ آپ ان کے پاس ایک کتاب آسمان سے منگا دیں تو یقیناً موسیٰ (علیہ السلام)سے انہوں نے اس سے بڑا سوال کیا تھا (اور) یوں کہا ہمیں اللہ ظاہر (آنکھوں سے)دکھا دیں پس ان کے اس گناہ کی وجہ سے ان کو بجلی کی چمک نے آپکڑا پھر واضح دلائل آجانے کے بعد بچھڑے کو معبود بنا لیا سو ہم نے اس پر (ان کو)معاف کردیا اور ہم نے موسیٰ (علیہ السلام)کو واضح غلبہ عطا فرمایا۔
004:154	اور ان سے وعدہ لینے کے لئے ہم نے ان پر طور (پہاڑ)معلق کردیا اور ہم نے ان سے کہا کہ (شہر کے) دروازے میں سجدہ کرتے ہوئے (سرنگوں)داخل ہوں اورہم نے ان سے کہا کہ ہفتے کے دن کے بارے حد سے نہ گزرنا اور ہم نے ان سے بہت پکے قول وقرار لئے۔
004:155	پس بسبب ان کے قول توڑ ڈالنے کے اور اللہ کی آیات کے انکار اور انبیاء کے ناحق قتل کرنے کے اور ان کے یہ کہنے کے سبب کہ ہمارے دلوں پر پردے ہیں بلکہ ان کی فکر کے سبب اللہ نے ان کے دلوں پر مہر کردی سو یہ بہت تھوڑے ایمان لاتے ہیں۔
004:156	اور ان کے کفر کی وجہ سے اور (حضرت)مریم(علیہا السلام )پر بہت بڑا الزام لگانے کی وجہ سے (ان کو بہت بڑی سزا دی)۔
004:157	اور ان کے یہ کہنے کی وجہ سے کہ ہم نے مسیح عیسیٰ (علیہ السلام)مریمؑ کے بیٹے کو جو اللہ کے پیغمبر تھے قتل کردیا اور حالانکہ نہ انہوں نے ان کو قتل کیا اور نہ ان کو صلیب پر چڑھایا بلکہ انہیں شبہ ڈالا گیا اور یقیناً جن لوگوں نے اس میں اختلاف کیا وہ ان کے بارے شک میں پڑے ہوئےہیں سوائے گمان پر چلنے کے ان کے پاس اس کاعلم نہیں اورانہوں نے ان کو یقیناً قتل نہیں کیا تھا۔
004:158	بلکہ اللہ نے ان کو اپنی طرف اٹھا لیا اور اللہ غالب ہیں حکمت والے.
004:159	اور کوئی اہل کتاب میں سے نہیں ہوگا مگر ان (حضرت عیسیٰؑ)کے مرنے سے پہلے ان پر ضرور ایمان لائے گا اور وہ قیامت کے دن ان پر گواہ ہوں گے۔
004:160	سو یہود کے (بڑے بڑے)گناہوں کی وجہ سے ہم نے ان پر جو پاکیزہ چیزیں حلال کی تھیں حرام کردیں اور بسبب اس کے کہ یہ بہت سے لوگوں کواللہ کی راہ سے روکتے تھے۔
004:161	اور ان کے سود لینے کے سبب اور حالانکہ انہیں اس سے روکا گیا تھا اور ان کے، لوگوں کے مال ناجائز طریقے سے کھا جانے کے سبب اور ہم نے ان میں سے جو کافر ہیں ان کے لئے دردناک عذاب تیار کررکھا ہے۔
004:162	لیکن ان میں جو لوگ علم میں پختہ ہیں اور جو مومن ہیں جو(کتاب)آپ پر نازل ہوئی اور جو آپ سے پہلے نازل ہوئیں (ان)پر ایمان رکھتے ہیں اور نماز کی پابندی کرنے والے اور زکوٰۃ ادا کرنے والے ہیں اور اللہ کے ساتھ اورآخرت کے دن کے ساتھ ایمان لانے والے ہیں ایسے لوگوں کوہم عنقریب بہت بڑا اجر دیں گے۔
004:163	ہم نے آپ کی طرف وحی بھیجی جس طرح ہم نے نوح (علیہ السلام )اور ان کے بعد کے پیغمبروں کی طرف بھیجی تھی اور وحی کی ہم نے ابراہیم(علیہ السلام)کی طرف اور اسمٰعیل اور اسحق اور یعقوب (علیہم السلام)اور ان کی اولاد کی طرف اور عیسیٰ اور ایوب اور یونس اور ہارون اور سلمان(علیہ السلام)کی طرف اور داؤد(علیہ السلام)کوہم نے زبور دی۔
004:164	اور ایسے پیغمبر جن کا حال ہم نے پہلے آپ سے بیان فرمایا اور ایسے پیغمبر(بھی ہیں)جن کا حال ہم نے آپ سے بیان نہیں فرمایا اور موسیٰ (علیہ السلام)سے تو اللہ نے باتیں (بھی)کیں۔
004:165	(ان سب کو)خوشخبری دینے والے اور (انجام بد سے)ڈرانے والے پیغمبر بنا کر بھیجا تاکہ ان پیغمبروں کے (آنے کے)بعد لوگوں کو اللہ پر کوئی الزام نہ رہے اور اللہ غالب ہیں حکمت والے ہیں۔
004:166	لیکن اللہ شہادت دیتے ہیں کہ جو آپ کی طرف (کتاب کو)نازل کیا اسے اپنے علمی کمال کے ساتھ نازل کیا اور فرشتے گواہی دیتے ہیں اور اللہ گواہ کافی ہیں۔
