# Akram-ut-Tarajum — complete official Quran translation corpus
# Source: https://www.naqshbandiaowaisiah.org/quran
# Format: surah:ayah<TAB>Urdu<TAB>English
001:001	شروع اللہ کے نام سے جو بڑے مہربان نہایت رحم کرنے والے ہیں -	Beginning with the Name of Allah, Who is Very Kind, Extremely Merciful.
006:083	اور یہ ہماری دلیل تھی جو ہم نے ابراہیم (علیہ السلام)کو ان کی قوم کے مقابلے میں عطا فرمائی تھی ہم جس کے چاہیں درجات بلند فرمادیتے ہیں بے شک آپ کا پروردگار حکمت والا علم والا ہے۔	And this was Our Argument which We bestowed upon Ibraheem (Alaihi as-Salam) against his people. We raise the ranks of whom We will. Without doubt, your Rabb is Wise, Knowing.
006:084	اور ہم نے ان کو اسحق (علیہ السلام، بیٹے)اور یعقوب (علیہ السلام ، پوتے)عطا فرمائے سب کو ہم نے ہدایت کی اور پہلے (زمانہ میں )ہم نے نوح (علیہ السلام)کو ہدایت کی اور ان کی اولاد میں سے داؤد اور سلیمان اور ایوب اور یوسف اور موسیٰ اور ہارون(علیہم السلام)کو اور ہم نیک کام کرنے والوں کو ایسا ہی بدلہ دیا کرتے ہیں۔	And We granted him (a son) Ishaq (Alaihi as-Salam) and (a grandson) Yaqoob (Alaihi as-Salam). We guided them all. And We guided Nooh (Alaihi as-Salam) before (times) and of his descendants Dawood and Sulaiman and Ayub and Yousuf and Musa and Haroon (Alaihim as-Salam). And this is how We reward the doers of good.
006:085	اور زکریا اور یحییٰ اور عیسیٰ اور الیاس (علیہم السلام)کو ، یہ سب نیکوکاروں میں سے تھے۔	And Zakariya and Yahya and Isa and Ilyas (Alaihim as-Salam), all of them were of the righteous.
006:086	اور اسمٰعیل اور الیسع اور یونس اور لوط (علیہم السلام) کو بھی اور ان سب کو(ان کے زمانوں کے)تمام جہانوں پر (نبوت سے)بزرگی عطا فرمائی۔	And also Isma‘eel and Yasa‘a and Younus and Loot (Alaihim as-Salam). And We honoured all of them (with Prophethood) over all the worlds (in their times).
006:087	اور ان کے کچھ باپ دادوں کواور اولاد اور بھائیوں میں سے بھی۔اور ہم نے ان کو برگزیدہ کیا اور ہم نے ان سب کو راہ راست کی ہدایت کی۔	And also to some of their forefathers and their descendants and their brothers, and We elevated them and We guided them all to the straight path.
006:088	یہ اللہ کی ہدایت ہے اپنے بندوں میں سے جسے چاہیں اس سے راہنمائی فرماتے ہیں۔ اور اگر وہ لوگ شرک کرتے تو جو عمل وہ کرتے تھے ان سے ضائع ہوجاتے۔	This is the Guidance of Allah. He guides by it whomsoever of His slaves He wills. And had those people committed polytheism, all the deeds they had performed would have been wasted.
006:089	یہ ایسے لوگ تھے جن کو ہم نے کتاب اور حکم(شریعت)اور نبوت عطا فرمائی پھر اگر یہ سب (کفار)ان باتوں سے انکار کریں تو ہم نے ان (باتوں)کے لئے ایسے لوگ مقرر کردیئے ہیں کہ ان سے کبھی انکار کرنے والے نہیں۔	And they were those people whom We had granted the Book and the Command (Shari‘ah) and Prophethood. Then, if all of them (the unbelievers) deny these facts, We have deputed such people for these (facts), who are never going to deny them.
006:090	یہ وہ لوگ ہیں جن کو اللہ نے ہدایت عطا فرمائی تھی سو آپ انہی کی ہدایت کی پیروی کریں اور فرما دیں کہ میں تم سے اس (قرآن)کا صلہ نہیں مانگتا ۔ یہ تو جہانوں کے لئے نصیحت ہے۔	And they are the people whom Allah had guided. So you follow their guidance only and say, ‘I do not ask you any reward for this (Quran). This is but an advice for all the worlds.’
006:091	اور ان لوگوں نے اللہ کی قدر نہ جانی جیسی جاننا چاہیے تھی جب انہوں نے یہ کہا کہ اللہ نے کسی انسان (بشر)پر کچھ بھی نازل نہیں فرمایا تو فرمائیے وہ کتاب کس نے نازل فرمائی جس کو موسیٰ (علیہ السلام)لائے تھے جو لوگوں کے لئے نور (روشنی) اور ہدایت تھی جس کو تم نے الگ الگ اوراق (پر نقل)کررکھا ہے اس کے کچھ (حصے)کو ظاہر کرتے ہو اور بہت سے کو چھپاتے ہو اور تم کو وہ باتیں سکھائی گئیں جن کو تم جانتے تھے نہ تمہارے باپ دادا۔فرمادیجئے کہ اللہ (نے یہ نازل فرمایا ہے)پھر ان کو چھوڑ دیں کہ اپنی بیہودگی میں کھیلتے رہیں۔	And these people did not hold Allah in due esteem as should have been done when they said, ‘Allah has not revealed anything to any person (human being)’. Say, ‘Who revealed the Book that Musa (Alaihi as-Salam) brought, which was a Noor (light) and a guidance for people, which you have made (copied) into separate sheets, some (part) of it you disclose and much you hide, and you were taught those facts which neither you nor your forefathers knew?’ Say, ‘Allah (has revealed this)!’ Then leave them playing in their absurdity.
006:092	اور یہ (ویسی ہی)کتاب ہے جس کو ہم نے بابرکت نازل فرمایا ہے اپنے سے پہلی کتابوں کی تصدیق کرتی ہے اور تاکہ آپ مکہ اور اس کے ارد گرد والوں کو (انجام بد سے)ڈرائیں اور جو لوگ آخرت پر یقین رکھتے ہیں وہ اس پر ایمان لاتے ہیں اور اپنی نمازوں کی حفاظت کرتے ہیں۔	And this is a (similar) Book, which We have revealed blessed, (it) confirms the Books that came before it, and so that you may warn the people of Makkah and its surroundings (of a bad end). And the people who possess sure faith in the Hereafter believe in it and (they) guard their Salah.
006:093	اور اس سے بڑا ظالم کون ہوگا جس نے اللہ پر جھوٹا بہتان لگایا یا کہا مجھ پر وحی آتی ہے اور اس کے پاس کسی بات کی بھی وحی نہیں آتی اور جو کہے کہ جس طرح کی (کتاب)اللہ نے نازل کی ہے اس طرح کی میں بھی بنا لیتا ہوں اور اگر آپ اس وقت دیکھیں جب یہ ظالم موت کی سختیوں میں ہوں گے اور فرشتے اپنے ہاتھ بڑھا رہے ہوں گے (کہ ہاں)اپنی جانیں نکالو آج تم کو ذلت کی سزا دی جائے گی اس وجہ سے کہ تم اللہ کے ذمہ جھوٹی باتیں کہتے تھے اور تم اس کی نشانیوں سے تکبر کرتے تھے۔	And who could be a greater wrongdoer than the one who fabricated a lie against Allah or said ‘Revelation comes to me,’ whereas he receives no revelation whatsoever, and the one who says, ‘I am also able to produce a book like (the Book) Allah has sent down.’ And if you were to see these wrongdoers when they will be in the agonies of death, and the angels will be stretching out their hands, ‘(O yes!), Deliver up your souls. Today you will be given a humiliating punishment, because you attributed lies to Allah and were arrogant against His Signs.’
006:094	اور البتہ تم ہمارے پاس اکیلے اکیلے آگئے جیسے ہم نے تم کو پہلی بار پیدا فرمایا تھا اور جو ہم نے تم کو دیا تھا وہ اپنی پیٹھ پیچھے ہی چھوڑ آئے اور ہم تمہارے ساتھ ان سفارش کرنے والوں کو بھی نہیں دیکھتے جن کے بارے تمہارا دعویٰ تھا کہ وہ تمہارے معاملے میں شریک ہیں البتہ تمہارے آپس کے تعلقات منقطع ہوگئے (ٹوٹ گئے)اور جو تم دعوے کیا کرتے تھے سب جاتے رہے۔	And rather, you returned to Us individually as We had created you the first time, and left behind your backs whatever We had granted you. And We do not even see your intercessors whom you claimed to be partners in your affairs. Rather, your mutual relations have been cut off (broken), and the claims you used to make have all vanished.
006:095	بے شک اللہ دانے اور گٹھلی کو پھاڑ کر اگاتا ہے ، نکالتا ہے جاندار کو بے جان سے اور بے جان کو جاندار سے نکالنے والا ہے یہی تو اللہ ہے پھر تم کہاں بہکے پھرتے ہو۔	Indeed, Allah splits the grain and the fruit stone and makes it grows. He brings forth the living from the dead and the dead from the living. Such is Allah, then where are you wandering, confused?
006:096	وہ صبح کا نکالنے والا ہے۔ اور رات کو (موجب)آرام بنایا اور سورج اور چاند (کی رفتار کو)حساب کے لئے رکھا یہ (اللہ کے)مقرر کیے ہوئے (اندازے)ہیں جو غالب ہے حکمت والا ہے۔	He causes the dawn to break and He made the night (a source of) rest, and set (the movement of) the sun and moon for calculations. These are (the measures) determined by Allah, Who is Dominant, Wise.
006:097	اور وہی (اللہ)ہے جس نے تمہارے لئے ستارے بنائے تاکہ تم خشکی اور سمندر کے اندھیروں میں ان سے راہ معلوم کرسکو (اور)بے شک ہم نے جاننے والوں کے لئے دلائل کھول کر بیان کردیئے ہیں۔	And it is He (Allah), Who has made the stars for you, so that you may be able to find your way through the darkness of land and sea by them. (And) indeed, We have elaborated the proofs openly for those who possess knowledge.
006:098	اور وہی ہے جس نے تم سب کو ایک شخص سے پیدا فرمایا پھر ایک جگہ زیادہ رہنے کی ہے اور ایک جگہ چند روز رہنے کی۔ بے شک ہم نے سمجھ بوجھ رکھنے والوں کے لئے دلائل کھول کر بیان کردیئے ہیں۔	And it is He, Who has created you all from a single person, then there is an abode for a long duration and an abode for a few days. Indeed We have elaborated the proofs openly for those who possess understanding.
006:099	اور وہی ہے جس نے آسمان (بلندی) سے پانی برسایا پھر اس سے ہم نے ہر طرح کی روئیدگی اگائی پھر اس میں سے سبز کونپلیں نکالیں۔ ہم ان سے ایک دوسرے کے ساتھ جڑے ہوئے دانے نکالتے ہیں اور کھجور کے گابھے سے لٹکتے ہوئے گچھے اور انگوروں کے باغ اور زیتون اور انار کے (درخت پیدا فرمائے)جو ایک دوسرے سے ملتے جلتے ہیں اور نہیں بھی ملتے جلتے ذرا اس کے (ہر ایک) پھل کو تو دیکھیں جب وہ پھل لاتا ہے اور اس کے پکنے کو، ان میں ان لوگوں کے لئے جو ایمان لاتے ہیں بہت سی نشانیاں ہیں۔	And it is He, Who rained water from the sky (high above), then We grew all kinds of vegetation with it, then from it We brought out green shoots, from it We bring out grain closely joined to each other and clusters of dates hanging from the spathe of date palms and gardens of grapes, and (produced trees of) olive and pomegranates, similar to each other as well as dissimilar. Just observe (each of) its fruit when it comes to fruition and when it ripens. In these are many signs for the people who believe.
006:100	اور ان لوگوں نے جنوں کو اللہ کا شریک قرار دے رکھا ہے حالانکہ ان کو اس (اللہ)نے پیدا فرمایا ہے اور ان لوگوں نے اس (اللہ)کے لئے بیٹے اور بیٹیاں بغیر علم (سند)کے تراش رکھے ہیں وہ پاک ہے اور ان باتوں سے برتر ہے جو یہ بیان کرتے ہیں۔	And these people have set up the Jinn as Allah’s partners, although He (Allah) has created them, and they have fabricated sons and daughters for Him (Allah) without any knowledge (proof). He is Hallowed and is far Exalted over what they state.
006:101	وہ آسمانوں اور زمین کا موجد (عدم سے وجود دینے والا)ہے اس کی اولاد کیونکر ہوسکتی ہے جبکہ اس کی کوئی بیوی ہی نہیں اور اس نے ہر چیز کو پیدا فرمایا اور وہ ہر چیز کا علم رکھتا ہے۔	He is the Originator of the heavens and the earth (their Creator from nonexistence), how can He have children when He has no wife? And He created everything, and He has knowledge of everything.
006:102	یہی ہے اللہ تمہارا پروردگار اس کے سوا کوئی عبادت کے لائق نہیں ہر چیز کا پیدا کرنے والا ہے پس اسی کی عبادت کرو اور وہ ہر چیز کا کارساز ہے۔	This is Allah, your Rabb! There is none worthy of worship other than Him, the Creator of everything. Therefore, worship Him only, and He is the Manager of all affairs.
006:103	نگاہیں اس کا ادراک نہیں کرسکتیں اوروہ نگاہوں کا ادراک کرسکتا ہے اور وہ بڑا باریک بین، باخبر ہے۔	Vision cannot comprehend Him; and He can comprehend vision; and He is Very Subtle, Aware.
006:104	بے شک تمہارے پاس تمہارے پروردگار کی طرف سے حق بینی کے ذرائع آچکے پس جو شخص دیکھ لے گا سو وہ اپنا فائدہ کرے گا اور جو شخص اندھا رہے گا سو وہ اپنا نقصان کرے گا اور میں تمہارا نگہبان نہیں ہوں۔	Without doubt, the means to discern the Truth have come to you from your Rabb. Thus the person who sees will benefit himself, and the one who remains blind will cause loss to himself, and I am not a guardian over you.
006:105	اور ہم اس طرح مختلف اندازسے (دلائل) بیان فرماتے ہیں اور تاکہ یہ لوگ یوں نہ کہیں کہ آپ نے کسی (علمائے یہود)سے سیکھ لیے ہیں اور تاکہ ہم دانشمندوں کے لئے خوب بیان کردیں۔	And likewise, We elaborate (the proofs) in various ways, and so that these people do not say that you have learnt this from someone (the Jewish scholars), and that We may elaborate it for the people of intellect.
006:106	جو حکم (وحی)آپ کے پاس آپ کے پروردگار کی طرف سے آتا ہے اس کی پیروی کریں۔ اس کے سوا کوئی عبادت کا مستحق نہیں اور مشرکوں سے کنارہ کرلیں۔	Follow the Command (Revelation) that comes to you from your Rabb. There is none worthy of worship other than Him, and withdraw from the polytheists.
006:107	اور اگر اللہ چاہتا تو یہ شرک نہ کرتے اور ہم نے آپ کوان پرنگہبان مقرر نہیں فرمایااور نہ ہی آپ ان پر داروغہ ہیں۔	And had Allah willed, they would not have practised polytheism. And We have not appointed you as a guardian over them, nor are you their warden.
006:108	اورجن کو یہ لوگ (مشرک)اللہ کے سوا پکارتے ہیں ان کو برا نہ کہو (گالی نہ دو)پھرکہیں یہ حد سے گزر کر جہالت سے اللہ کی شان میں گستاخی (نہ)کریں ہم نے اس طرح ہر طریقہ والوں کے لئے ان کا عمل مرغوب بنارکھا ہے پھر ان کو اپنے رب کی طرف ہی جانا ہے تو وہ ان کو بتلائیں گے جو کچھ وہ کیا کرتے تھے۔	And do not revile (abuse) those whom these people (the polytheists) invoke instead of Allah, lest they cross limits in ignorance and (may) show disrespect for Allah’s Majesty. In this manner, We have made the deeds of the followers of each way, likeable to them. And then they have to return to their Rabb, so He will inform them of what they used to do.
006:109	اور یہ لوگ اللہ کی بڑی سخت قسمیں کھاتے ہیں کہ اگر ان کے پاس کوئی نشانی آجائے تو وہ ضرور اس پر ایمان لے آئیں گے آپ فرما دیجئے کہ نشانیاں اللہ کے پاس ہیں اور تمہیں کیا معلوم ہے کہ وہ (نشان)جب آجائیں یہ جب بھی (ان پر)ایمان نہ لائیں گے۔	And these people swear strongly by Allah that if some sign comes to them, they will certainly believe in it. Say, ‘The Signs are with Allah.’ And what do you know that when these (signs) do come, even then they will not believe (in them)?
006:110	اور ہم ان کے دلوں اور ان کی نگاہوں کو پھیر دیں گے جس طرح یہ پہلی دفعہ ان (نشانیوں)پر ایمان نہیں لائے اور ہم ان کو ان کی سرکشی میں حیران رہنے دیں گے۔	And We will turn aside their hearts and their sights, just as they did not believe initially in them (the signs), and We shall let them remain perplexed in their rebellion.
006:111	اور اگر ہم ان پر فرشتے اتاردیتے اور مُردے ان سے باتیں کرتے اور ہم ان کے سامنے ہر شے (مخلوقات غیبیہ)کو حاضر کردیتے یہ پھر بھی ایمان نہ لاتے ہاں اگر اللہ ہی چاہیں تو(اور بات ہے)ولیکن ان میں اکثر لوگ جہالت کی باتیں کرتے ہیں۔	And had We sent down angels to them, and the dead had spoken to them, and We had presented everything (of the unseen creations) before them, they would not have believed even then, yes only if Allah Himself wills (that is another matter), but most people among them speak ignorantly.
006:112	اور اسی طرح ہم نے ہر نبی کے لئے شیطان (سیرت)انسانوں اورجنوں کو دشمن بنادیا تھا دھوکہ دینے کے لئے ایک دوسرے کو چکنی چپڑی باتوں کا وسوسہ ڈالتے رہتے ہیں اوراگر آپ کا پروردگار چاہتا تو یہ ایسا نہ کرتے تو آپ ان کو اور جو یہ افترا پردازی کرتے ہیں اسے چھوڑ دیجئے۔	And likewise, We had appointed devilish (natured) humans and Jinn as enemies for every Prophet. They keep whispering glossy, glittering speech to delude each other. And had your Rabb willed, they would not have done so. So leave them alone and the slander fabrication they commit.
006:113	اور تاکہ جو لوگ آخرت پر ایمان نہیں رکھتے ان کے دل اس طرف مائل ہوں اور تاکہ وہ اسے پسند کرلیں اور جن امور کے یہ مرتکب ہوئے ان امور کے مرتکب ہوجائیں۔	And so that the hearts of the people who do not believe in the Hereafter may incline towards it, and that they may like it, and that they may commit those deeds which they (the slander-fabricators) committed.
006:114	سو کیا میں اللہ کے علاوہ کوئی اور فیصلہ کرنے والا تلاش کروں حالانکہ اس نے تم پر واضح کتاب نازل فرمائی ہے۔ اور جن لوگوں کو ہم نے کتاب دی ہے وہ جانتے ہیں کہ یہ آپ کے پروردگار کی طرف سے حق کے ساتھ اتاری ہوئی ہے سو آپ ہرگز شبہ کرنے والوں میں نہ ہوں۔	So, should I look for a judge other than Allah, although He has sent down a detailed Book on you? And the people to whom We have given the Book know that this has been sent down from your Rabb with Truth; so never be you of the doubters.
006:115	اور آپ کے پروردگار کی باتیں سچائی اور انصاف میں پوری ہیں۔ اس کے کلام کو کوئی تبدیل نہیں کرسکتا اور وہ سننے والا جاننے والا ہے۔	And the Words of your Rabb are Perfect in Truth and Justice. None can change His Words, and He is the Hearing, Knowing.
006:116	اور اگر آپ دنیا کے اکثر لوگوں کی باتیں ماننے لگیں تو وہ آپ کو اللہ کی راہ سے گمراہ کردیں گے وہ محض خیالات کی پیروی کرتے ہیں اور وہ محض قیاسی باتیں کرتے ہیں۔	And if you start obeying the counsel of most people in the world, they will lead you astray from Allah’s Path. They follow mere thoughts and speak only conjectures.
006:117	بے شک آپ کاپروردگار اس کی راہ سے بھٹکے ہوؤں کو خوب جانتا ہے اور وہ ان کو خوب جانتا ہے جو سیدھے راستے (ہدایت)پر چل رہے ہیں۔	Without doubt, your Rabb knows well those who have strayed from His Path, and He knows well those who are walking on the straight path (of guidance).
006:118	تو جس چیز پر (بوقت ذبح)اللہ کا نام لیا جائے اسے کھایا کرو اگر تم اس کی دلیلوں پر ایمان رکھتے ہو تو۔	So, eat that on which the Name of Allah has been pronounced (at the time of slaughter), if you are believers in His Signs.
006:119	اور تمہیں کیا ہوا کہ جس (جانور)پراللہ کا نام لیا گیا ہے اس میں سے نہیں کھاتے ہو حالانکہ جو تم پر حرام کیا ہے وہ تمہیں تفصیل سے بتادیا ہے سوائے اس کے کہ تم اس کے لئے انتہائی مجبور ہوجاؤ (تو اجازت ہے)اور یقیناً بہت سے لوگ بغیر کسی سند کے اپنے غلط خیالات کی وجہ سے گمراہ کرتے ہیں بلا شبہ آپ کا پروردگار(اللہ)حد سے نکل جا نےوالوں کو خوب جانتا ہے۔	And what is the matter with you that you do not eat of that (animal) on which the Name of Allah has been pronounced, although what is forbidden to you has been told to you in detail except that you are extremely compelled for it (then you are allowed)? And indeed many people lead (others) astray by their false desires, without any proof. Doubtlessly, your Rabb (Allah) knows the transgressors well.
006:120	اور ظاہری اور پوشیدہ (ہر طرح کا)گناہ چھوڑ دو۔ بے شک جو لوگ گناہ کرتے ہیں وہ عنقریب اپنے کیے کی سزا پائیں گے۔	And forsake sin (of every kind), open and hidden. Indeed, the people who sin will soon be punished for their deeds.
006:121	اور اس (جانور)میں سے نہ کھاؤ جس پر (بوقت ذبح)اللہ کا نام نہ لیا گیا ہو اور بے شک یہ نافرمانی ہے اور یقیناً شیاطین اپنے دوستوں کے دلوں میں یہ بات ڈالتے ہیں کہ وہ تم سے جھگڑا (بحث)کریں اور تم لوگ ان کے کہنے پر چلے تو پھر تم بھی یقیناً مشرکوں میں ہوگے۔	And do not eat of that (animal) on which the Name of Allah has not been pronounced (at the time of slaughter) and this is indeed disobedience. And surely the Shayateen whisper in the hearts of their friends that they should dispute (argue) with you. And if you people obey what they say, then you too will surely become of the polytheists.
006:122	بھلا جو شخص مردہ تھا پھر ہم نے اسے زندہ کردیا اور ہم نے اس کے لئے ایسی روشنی (نور)کردی کہ اس کے ساتھ آدمیوں میں چلتا پھرتا ہے اس شخص کی مانند ہوسکتا ہے جو اندھیروں میں ہے (اور)ان سے نکل نہیں سکتا اسی طرح کافروں کوان کے اعمال اچھے معلوم ہوتے ہیں۔	Then can the person who was dead then We gave him life and appointed for him such light (Noor) with which he walks among men, be like the person who is in darkness (and) cannot come out of it? Likewise, the deeds of the unbelievers seem fair to them.
006:123	اور اس طرح ہم نے ہر بستی میں وہاں کے بڑے لوگوں (رئیسوں)کو جرم کرنے والا بنایا کہ وہاں شرارتیں کریں اور یہ لوگ اپنے ہی ساتھ شرارت کررہے ہیں اوران کو (ذرا بھی)خبر نہیں ۔	And likewise, in every township We made their great people (chieftains) perpetrators of crime to make mischief therein. And these people are making mischief against themselves only, and they are not (the least) aware.
006:124	اور جب ان کے پاس کوئی آیت آتی ہے تو کہتے ہیں کہ جب تک ہم کو اس طرح کی رسالت نہ دی جائے جس طرح کی رسالت اللہ کے پیغمبروں کو ملی ہے ہم ہرگز نہیں مانیں گے۔ اللہ خوب جانتے ہیں کہ نور رسالت کس کو عطا فرماناہے عنقریب ان مجرم لوگوں کواللہ کے پاس ذلت ملے گی اور ان کی شرارتوں پر شدید عذاب۔	And when some Ayah comes to them they say, ‘We will never believe until we are given the same messenger-ship that was given to Allah’s Messengers.’ Allah knows well whom to grant the Noor of Messenger-ship. Soon these criminals will receive humiliation from Allah, and a severe torment for their mischiefs.
006:125	سو اللہ جس کو ہدایت فرمانا چاہیں اس کا سینہ اسلام کے لئے کھول دیتے ہیں اور جس کو گمراہ کرنا چاہیں اس کا سینہ تنگ (اور)بند کردیتے ہیں گویا وہ آسمان پر چڑھ رہا ہے اس طرح اللہ ایمان نہ لانے والوں پر پھٹکار ڈالتے ہیں۔	So the one whom Allah wills to guide, He expands his breast for Islam, and the one whom He wills to send astray, He constricts (and), closes his breast as though he is ascending to the sky. In this manner, Allah casts a curse on those who do not believe.
006:126	اور یہ آپ کے پروردگار کی سیدھی راہ ہے یقیناً نصیحت حاصل کرنے والوں کے لئے ہم نے کھلی نشانیاں بیان کردی ہیں۔	And this is the straight path of your Rabb. Indeed, We have explained signs evidently for those who take advice.
006:127	ان کے لئے ان کے پروردگار کے پاس سلامتی کا گھر اور وہ ان کے اعمال کی وجہ سے ان کا دوست ہے۔	For them is a home of peace with their Rabb; and He is their Friend because of their deeds.
006:128	اور جس دن وہ ان سب (خلائق)کو جمع فرمائے گا (ارشاد ہوگا)اے جنوں کی جماعت ! یقیناً تم نے انسانوں سے بہت فائدے حاصل کیے اور انسانوںمیں سے ان کے دوست کہیں گے اے ہمارے پروردگار ! ہم ایک دوسرے سے فائدہ اٹھاتے رہے اور (آخر)ہم اس وقت کو پہنچ گئے جو آپ نے ہمارے لئے مقرر فرمایا تھا فرمائے گاتم سب کا ٹھکانہ دوزخ ہے ہمیشہ اس میں رہو گے سوائے اس کے جب اللہ چاہے۔ بے شک آپ کا پروردگار دانا(اور)جاننے والا ہے۔	And on the Day when He will gather all of them (the creations), (it will be said), ‘O company of Jinn! Indeed you acquired many benefits from men,’ and their friends from among men will say, ‘O our Rabb! We kept benefitting from each other, and (finally) we have reached the time that You had appointed for us.’ He will say, ‘The abode of all of you is Hell, you will remain in it forever, except that when Allah wills.’ Without doubt, your Rabb is Wise (and) Knowing.
006:129	اور اسی طرح ہم بعض ظالموں کوان کے اعمال کے باعث بعض دوسرے ظالموں کے قریب کردیتے ہیں۔	And likewise, We bring some of the wrongdoers close to others wrongdoers, because of their deeds.
006:130	اے جنوں اورانسانوں کے گروہ! کیا تمہارے پاس تم ہی میں سے پیغمبر نہیں آتے رہے جو تم کو میرے احکام بیان کیا کرتے تھے اور تم کو اس آج کے دن کے پیش آنے سے خبردار کیا کرتے تھے؟ وہ کہیں گے کہ ہم نے اپنے اوپر (جرم کا) اقرار کیا اور ان کو دنیا کی زندگی نے بھول میں ڈال رکھا تھا اور انہوں نے اپنے آپ پر گواہی دی کہ وہ کافر تھے۔	O company of Jinn and men! Had not the Messengers, from amongst you, been coming to you who explained My Commands to you and used to warn you about the coming of this Day?’ They will say, ‘We confess (the crime) against ourselves.’ And the life of the world had kept them deluded, and they testified against themselves that they had been unbelievers.
006:131	یہ اس لئے ہے کہ آپ کا پروردگار بستیوںکوان کے ظلم (کفروشرک)کے سبب ایسی حالت میں ہلاک نہیں فرماتا کہ وہاں کے لوگ کچھ بھی خبر نہ رکھتے ہوں۔	This is because your Rabb does not destroy townships for their wrongdoing (unbelief and polytheism) while their people are completely unaware.
006:132	اور ہرایک کے لئے ان کے اعمال کے سبب درجے ہیں۔اور آپ کا پروردگار ان کے اعمال سے بے خبر نہیں۔	And for everyone are ranks in accordance with their deeds. And your Rabb is not unaware of their deeds.
006:133	اور آپ کا پروردگار بے نیاز ہے رحمت والا ہے اگر چاہے تو تم کو نابود کردے اور تمہاری جگہ تمہارے بعد جن (دوسروں)کو چاہے لے آئے جیسا کہ تم کو دوسرے لوگوں کی نسل سے پیدا فرمایا ہے۔	And your Rabb is Need-Free, Merciful. If He wills He can eliminate you and bring (others), whom He wills, in your place after you, just as He has created you from the seed of other people.
006:134	تم سے جو وعدہ کیا گیا تھا وہ یقیناً آنے والا ہے اور تم (اللہ کو)عاجز نہیں کرسکتے۔	The promise that was made to you is sure to arrive, and you cannot overwhelm (Allah).
006:135	فرما دیجئے اے میری قوم! تم اپنی جگہ عمل کیے جاؤ میں بھی عمل کررہا ہوں سو عنقریب تم کو معلوم ہوجائے گا کہ آخرت کا گھر (جنت)کس کے لئے ہے بے شک وہ (اللہ)ظالموں کابھلا نہیں فرماتا۔	Say, ‘O my people! Keep performing your deeds in your own way, I too am performing mine, soon you will come to know for whom is the home of the Hereafter (Paradise). Indeed, He does not grant success to the wrongdoers.’
006:136	اور یہ لوگ اس (اللہ)ہی کی پیدا کی ہوئی چیزوں، کھیتی اور جانوروں میں سے کچھ حصہ اللہ کے لئے مقررکرتے ہیں پھراپنے باطل خیال کے مطابق کہتے ہیں یہ اللہ کے لئے ہے اور یہ ہمارے شریکوں کے لئے پھر جوان کے شریکوں (معبودوں)کا حصہ ہوتا ہے وہ تو اللہ کو نہیں جاسکتا اور جو اللہ کا حصہ ہوتا ہے تو وہ ان کے معبودو ں کوجاسکتا ہے۔وہ کیسا برا فیصلہ کرتے ہیں۔	And these people assign to Allah, some share out of the things, crops and animals that He (Allah) has Himself created. Then they say, according to their false notions: ‘This is for Allah, and this is for our ascribed partners.’ Then the portion which is for their ascribed partners (deities) cannot go to Allah, while the portion that is for Allah can go to their deities. How badly do they judge!
006:137	اور اسی طرح بہت سے مشرکوں کوان کے شریکوں نے ان کی اولاد کو قتل کرنا اچھا کر دکھایا تاکہ ان کو برباد کردیں اور ان پر ان کا دین خلط ملط کردیں اور اگر اللہ چاہتے تو یہ ایسا نہ کرتے سو آپ ان کو اور جو غلط باتیں یہ بنارہے ہیں کہ چھوڑ دیجئے۔	And likewise, to many polytheists their ascribed partners made the killing of their children fair seeming, so that they may ruin them and confuse their religion for them. And had Allah willed, they would not have done so. So leave them and the falsehood that they are fabricating.
006:138	اور کہتے ہیں کہ یہ چار پائے اور کھیتی منع ہے اس کو صرف وہ کھاسکتا ہے جسکو ہم چاہیں، ان کے خیال باطل کے مطابق۔ اور (کہتے ہیں)یہ مخصوص جانور ہیں جن پر سواری (یا باربرداری )منع کی گئی ہے اور کچھ جانورایسے ہیں جن کو اللہ پر جھوٹ باندھتے ہوئے (بوقت ذبح) اللہ کا نام نہیں لیتے وہ عنقریب ان کو اس جھوٹ کا بدلہ دیں گے۔	And they say according to their false notions, ‘These cattle and crops are forbidden, only he whom we want can eat them.’ And (they say), ‘These are special animals, on which riding (or carrying burden) has been forbidden.’ And there are certain animals on which they do not pronounce Allah’s Name (at the time of slaughter), fabricating a lie against Allah. He will soon requite them for this lie.
006:139	اور کہتے ہیں جو بچہ ان چارپایوں کے پیٹ میں ہے وہ خالص ہمارے مروں کے لئے ہے اور ہماری عورتوں کے لئے (اس کا کھانا) منع (حرام)ہے اور اگر وہ بچہ مرا ہوا ہو تو وہ سب اس میں شریک ہیں عنقریب وہ (اللہ) ان کوان کے (غلط)کہنے کے سبب سزا دیں گے یقیناً وہ (اللہ)حکمت والے جاننے والے ہیں۔	And they say, ‘The foetus within the bellies of these cattle is reserved for our men and is forbidden (Haraam) for our women (to eat).’ However, if the foetus is dead, then they all share it. Soon He will punish them for their (false) utterances. Indeed, He (Allah) is Wise, Knowing.
